d,betaprime,total cost,preprocessing,single enum,probability
439,344,428409327183247848181016146629988202542764173157334388119035483916571503785451043422208,26821185747463508609688749696392461176390607670668982031638069248,159378684489616106799932697960589985397353506975074010027800920064,3.1004380186989804e-22
440,344,727521477618961398979017096190588003850757087458949362004436330118844263325707010048000,27096297051361756890427436758287112528276773571772467315799490560,96816262038600013790379542748179310042380879955127674493946822656,1.2149883247808349e-22
441,344,1660297611588381139267448017219088166620994093989130519169417862798929962288579379986432,27371408355260005171166123820181763880162939472875952599960911872,143092030324009109206891893767752231030169103531517660575555387392,7.323992639652766e-23
442,344,2715165460588191477195604291676369723012361508372405213179310484350729118758731440455680,27646519659158253451904810882076415232049105373979437884122333184,147292833101526262699096542704527755556646863727012300688619208704,4.596145961953877e-23
443,344,5860929851383393823793140808292167187755709262395146702668313800603791995539027784630272,27921630963056501732643497943971066583935271275082923168283754496,160759890215009241516117412763944363937467677231557694818749513728,2.2964946755872387e-23
444,344,10906458595667566102019001121712186130125323224632189780282095208421874606173129889808384,28196742266954750013382185005865717935821437176186408452445175808,112158839726074084838198020659129324024393215497402070327502045184,9.18012366704218e-24
445,344,30531525040019840094702309181174517573744844106463738241644252217404834925350912207618048,28471853570852998294120872067760369287707603077289893736606597120,135895150279936092396466872985400243641367073733629144366338539520,3.840331710061183e-24
446,344,38968926311293870552277739773594737990586283880960301614447602267511535177955628686508032,28746964874751246574859559129655020639593768978393379020768018432,171248781160775903266884624882952517755496692813062584391753007104,3.661043721624577e-24
447,344,101003115439669798257516574603375485899030396274962809167476552649111329664226982801440768,29022076178649494855598246191549671991479934879496864304929439744,317536899932235236051618139660916358995981354419888382193847762944,2.447625557642273e-24
448,344,148853911688544489987829714467782042172305063297532713220684539792648595973881587522600960,29297187482547743136336933253444323343366100780600349589090861056,248482765085008210811867735688495013434938164065799958426776764416,1.3311998036926503e-24
449,344,419035314089328152251387028652211431359467949552525380175611850976270543703348664523030528,29572298786445991417075620315338974695252266681703834873252282368,334932710738410560396792593639995446081884431909636096845496188928,6.205195574993967e-25
450,344,569766134269157537189374548977727122831422105610169727556824274063293213363996335108259840,29847410090344239697814307377233626047138432582807320157413703680,201838311244989677366270474752599171984972218389172498295922098176,2.9007161604886653e-25
451,344,1756947638792949120225429003869854411454558009823714949580710059031659899915381129718267904,30122521394242487978552994439128277399024598483910805441575124992,146421724048860764493670658515016125625147693751934451830614917120,7.167989239495527e-26
452,344,2950268725430892973746227389588902787896563851968987056037523830444161828930299946839572480,30397632698140736259291681501022928750910764385014290725736546304,458362131089295644418273208118853447145676136084310524325208784896,1.1817795433053708e-25
453,344,6147727555317120550232327164273069028169095499004231908378137924138973982542389628595339264,30672744002038984540030368562917580102796930286117776009897967616,268780157255189193115357629720966654405046175943858346112086704128,3.474693561390365e-26
454,344,10877227657247405421751776253426555014419424943307195607672563673379296997896210577763598336,30947855305937232820769055624812231454683096187221261294059388928,244607619087082909556736915414085606987209639269992403020409733120,1.8071467561066564e-26
455,344,25103668366982243284302960274337557104604468370419153978993624385397304086964832636686565376,31222966609835481101507742686706882806569262088324746578220810240,247506855477937467056349744086711764982680901378272143695149006848,7.920431565130674e-27
456,344,44991962131403037268660941627578932055824325952808989424258288146385801879851455547789279232,31498077913733729382246429748601534158455427989428231862382231552,405522452704341105449730414887525204683436811068544858164308213760,6.928983128276656e-27
457,344,109420029039617918428595276936856929018642227300974391566767683855034285092008190665941843968,31773189217631977662985116810496185510341593890531717146543652864,261642037407319560988855528682379043865628921079253760891949154304,1.9128830512251615e-27
458,344,229600676131026972545506559741943437324647611104931774541301040249483945371297047880432353280,32048300521530225943723803872390836862227759791635202430705074176,225966025327537965842537186430386118135005399810591372854683500544,8.0162869516193175e-28
459,344,478688974245280510177678838424985305214573806748732601954333286630372183894359132541986799616,32323411825428474224462490934285488214113925692738687714866495488,320288292965738626083092172500935608560402868275556494291276660736,5.254675449202509e-28
460,346,979246108895740104980419653629114643243081677260913033934913400487519029887656209361682825216,97361314346169122558028332754017059393743062873049258640921329664,798223847740986705332821657341789809648541010869074124879276539904,6.524055282486842e-28
461,353,1073668816742331142564616476065937875509369160657335864175006163176244625215971242988672122880,5818481580354768800858038243005392522701798646615394852009163096064,69895648871164302932565638655629557075403724482354983043548221276160,5.0304773339890005e-26
462,354,1508312906620434986700978475655221381075056917533761186824067852284256863841999078766353055744,8638450214978012224943379326588189964603878042040161710430729797632,60377974502505264531154592836495874582528389841279226274917000413184,3.264101143590464e-26
463,355,3563504211918495861228900092658092380235130449162157742776582272811233924104948032434616664064,18583835279386050895085226562292028880627551960983528926595415801856,133746183663629949745296051118246432693876646599532412633789639950336,3.049374870104908e-26
464,360,3618806059563712535409013336905590589189370079387231460425463363473452295881589442487357800448,260054759418937902477561991714762681976075988724790499927873225228288,1772164769133005960723825884271325209692569352643359109109787524071424,4.0059719945580583e-25
465,364,6278510554006628744260606600976844456336137666740670003142357430304308737839989685318768918528,2583687464516635357993665075343124818920233270769441183844983916986368,16958303700392452173949448519680420643662584392953411634045514393059328,2.2203159629148543e-24
466,365,9540282067042142814464564861014164308687330202401899335641956247116826834898045706634814029824,5690052801735014845122775684535690162176878547906169023494905254641664,29798980672544612917522916366182611198667686491129169069030050474491904,2.6536005824412626e-24
467,370,17302102575558245273717352520921845654427881649632335637009857720698582406843001166505097297920,77120888756275497949904743640208964311109443929589147062536612314349568,525710159568652524567313503094167024025355712179784942389656572982722560,2.4854173581141612e-23
468,371,26847357031393554525471671518930708241142169829435945104979800094343002998479107940767206735872,167466553639231347576533310765031487790583501498740325228903185397055488,916493849589395169076921129301471069185768007001180532269814817541324800,2.8801458229298774e-23
469,378,43981361915960230207649713182143312745225668476767355337424341048104809810764037008290119417856,7827031923081689854497097830336597086621670828846264635524093024724320256,54902638783245181186702451504686961180428638944891653007454009736608874496,1.017435604892218e-21
470,378,73927926684539691532073040154795173402199499826719688297530158450536248695250044080610527412224,7910817746640477214937658502318538320735426832652152410975492339060965376,26416610914444169651549938294422668358584424569979871829614722357391261696,3.3123433166193997e-22
471,382,140377084278806338659106890473620698428422818058754540714785252972595429031729112329790188158976,80544094682456504707014922823134634853817937285799649130658095150946844672,408093760546300992532227953469690239595096466995644145636485938225453465600,2.4830958773001445e-21
472,385,200352157733929926465807812034080418325089081307064129451445466305137951768701468808115432456192,544360907011713574848972986729171164744636598380229576538786678280586002432,2552936669269794443796337857441382453262924550006668048085537497928400109568,1.1027866651168003e-20
473,386,429926651054864795016441695365496014270223885617174679483707260330891960548956064123125680308224,816341046728898248437982164325631791686257337139349845402334759460257398784,4098013765928315497803753098037000848423327908105505091386765688871183187968,8.154075691743362e-21
474,386,659091846419799672549314093919987503999756495602017242811912875730400922472669205836308712259584,825468731992098795379235280806295364943350065710108318756847299506745638912,4758800249831576723751378555789244527294097013808297252567322860413236805632,6.043979566277722e-21
475,386,1702463127800217610697251099688002017710613831253457858783893266087472663445355918946407005814784,834596417255299342320488397286958938200442794280866792111359839553233879040,3614734510287290325245756333376647910670737541102832306531164754759722729472,1.86431627590862e-21
476,388,2383311748030441178296151673575762479241065747315398351248603075809764316090084692695089091182592,3134733274884493415686767360170491822225521711385038531312830482842080247808,15905040809939420305352523783791457173856008183442103945503943803254442295296,5.698801560410855e-21
477,389,6004592912022341817739858399334336890733445310703689313625677508849546800512614619090308837670912,6724527430844298242024973559968080640779150047576695806693159280722355159040,44727448175040873987291619094714780745607093873751266913603550721913577799680,6.1125311186450796e-21
478,390,8936899272521056396182298498742150299420996505357671722008021212668556359184380753690756128964608,9722993832540066652401894939243612606557306707772239104215391325552612737024,52794717752529789688060486547005091579512909074640981877248607098110027497472,4.990209824417621e-21
479,390,20093909976924735787267443522565550585060312725272196796737522159157312336965994061938181000921088,9830517609870810748344892061729940268218151539666223629131191113502456545280,71994472319483691539371380684627316079590014595058524683523133438377022455808,2.904852637376696e-21
480,394,28544518359252722446282376144231506820422409062757589384296447757349103630435806754396913272881152,101200611522794989376536136550487437820661299493418920483452397400820235108352,519878046692769096244702562542839233561901808844010040173984020347080836907008,1.5521242489542485e-20
481,394,72234201641686691191481579150438939653878530865965540873736858190942273647141945528709300181008384,102345662326436349133427120153096554480540486242801650103572022359531966169088,468599086613667065016166697430247976300082516968724216883648655981794511814656,5.638373005919746e-21
482,396,98786561254685365888055590314415919734017411125607495094202692784731640172100786328314636656443392,318809738665795423434758185828864393174269826383639064894526860974665433612288,1562264066813779215874830965866550718561989994053919373421431042971793727946752,1.3583464908436087e-20
483,396,226283915552367379995479926414968976011009704507445256985690950348514646596313470031041432555356160,322414976873929826993412045325563023462110861577842693234403652678064485171200,1644856763877770997531625633921553169731948866364063597075451455241499436908544,6.20173586913632e-21
484,398,345474090899365921594419241187331258619510055825182720363590279154764402921008413112135774097113088,1070274531278071249867894024227958985173819956378955859701954696278057970302976,5547554159777698077531953839065137278770786430276404690635589664477506732818432,1.3664779730564644e-20
485,399,830250216454820975759659300186561706962343017501699643663138901018372743115270414542424102120980480,2360381849207270809157261215723224630257578152698802429655717763277980365225984,13182478557596383543398688519487310389503438271417617386887276572418505208496128,1.335440510432172e-20
486,400,1168025220463706000066541573074874440547082498566937192067251078659137395774330833851018093011140608,3454183048531480240619617178851740018919556292734712299796033261661070246805504,16811722648346121792522588891116638271098236042455679395867770796001970066817024,1.2377028597776004e-20
487,404,2510436271972297059729314959356658220100296167700586258466295916470277164599904291765711386575896576,26966572259193019919191620950939268570000266476244025472754218265929708755484672,121159392850181307939035059504378423299408333092507195000590890938807744873889792,4.209054887479712e-20
488,406,3925257998985865400352760810848121596150244680801103829804898607919149428132608616837822621971120128,83841062508024070310034684422001616567437283445122666653429103480710150888620032,413336828439668321851036152570533849268043459748723462492875661727350280658354176,9.035375327031284e-20
489,406,9200021854714053928476304630569142108201238059338425211536318386000756651286516714113433151058477056,84833980081264982664929097688890054242653213627834493861592595746470450067144704,441449279658850023847862159127508694396635598263110524362759969910192039102775296,4.080687092444589e-20
490,408,13242546909967919757900427916039814055270813305115569267104189641220344500614048604630450295302782976,259636592646882268344943331104574239658361829467007075294519196481279985866244096,1235949671981443273594225172434771021311970544047987929126366012007855709807968256,8.056428279522529e-20
491,410,29602889912537114785924302485256154445442611974793161606833372686557366253488521215921753267894222848,845094177774588822359029768329851570540413051014679779063611953905230771480690688,4075339474139957512568954714707208375193571382485245882003313463512329561707642880,1.185691938953308e-19
